ID,Section,Answer
163,9,I’m assuming responsibility for creating the PowerPoint for our group project because I have some extra time to take on the task.
164,9,"The retelling of an event is first taken up by a narrator, then eventually roles are assumed by multiple people within the group."
165,9,The fireworks on Friday evening are the signal that spring break has started. It’s a fun way to let the students know that they can officially relax.
166,9,Ants leave behind pheromones-special chemical signals that they use to communicate certain things.
167,9,"So I don’t wake her up, my housemate always puts a sign on her bedroom door to signal to me that she’s gone to bed."
168,9,"Some animals signal their level of aggression or readiness to mete by changing color, making their intentions quite visually."
169,9,"I got injured last night, so I’m therefore unable to complete in the track competition today."
170,9,We know that contemporary societies control their populations in a variety of ways. The idea of a world population crisis is therefore unlikely.
171,9,"We’ve identified potential donors for our fundraiser, so we’ll target those prospective sponsors first."
172,9,"Coral reefs provide coastal protection, opportunities for recreation, and are potential, untapped sources of substances like medical drugs."
173,9,"The freshman class this year has a lot of potential. They’re inexperienced, but they have so mush talent."
174,9,Europe’s economic institutions seemed to ne waiting for some technological breakthrough to increase their capabilities and expand their profit-making potential even more.
175,9,"We gained an advantage when our team had one more player than the opposing team. With an extra person, we scored the winning goal!"
176,9,"Given that predators can make it costly to beg for food, what benefit do baby birds gain from their communications? They must be getting something."
177,9,"The dean of the college isn’t motivated by personal gain, but by compassion-she doesn’t want recognition, she just wants to see students succeed."
178,9,Exchanges within the atmosphere are calculated by finding the difference between the gains from rain and the losses from evaporation.
179,9,"If power to the building ever goes out in a storm, the dorm has a back-up power source to generate electricity."
180,9,"Scientists believe that a meteorite striking Earth 65 million years ago generated a huge amount of dust, creating a cloud that enveloped Earth."
181,10,I recognize that presenter! I actually met her once before at a conference in Minneapolis!
182,10,"In a study using pigeons, researchers claimed that some animals could learn the ability to recognize themselves in a mirror, knowing the image is of themselves."
183,10,"I recognize that you have a heavy course load and I acknowledge your other commitments, so I’m extending your deadline on the final essay."
184,10,"The award recognized leadership and commitment to education, acknowledging the contribution of worthy educators."
185,10,My department recently loaned the graduate students laptops that enable them to project their screens onto multiple displays. This wasn’t possible before.
186,10,The cubicles will enable the library to accommodate the recent increase in the number of students attending our university.
187,10,"At the changes were hard to detect, but now I can see the results of my exercise routine."
188,10,"In industrialized areas where pollution has darkened the trees, moths with darker coloration are harder to see and are the ones birds have difficultly detecting."
189,10,The play on campus was intended for a sophisticated audience-not for newcomers to the teacher.
190,10,"As a culture becomes more sophisticated, or refined, its conceptions of supernatural forces and causal relationships may change."
191,10,I need more sophisticated software to do my research. My current software can only do basic statistics.
192,10,"Play appears to be a developmental characteristic of animals with fairly sophisticated nervous systems, mainly complex organisms like birds and mammals."
193,10,I only reveal my secrets to my best friends. I wouldn’t expose them to anyone I don’t know well.
194,10,The Andean toad exposes itself immediately after sunrise on moist ground and attains its preferred body temperature by revealing itself in this way.
195,10,My goal is to publish an article this semester. I want my independent research to be printed and distributed to the public.
196,10,"In the late 1400s, an expert published a book on architecture, but when the book became available to the public, readers misunderstood much of it."
197,10,"When I shop, I mentally estimate the sales tax so I have an idea of the total of my purchases before I go to the register."
198,10,One way to estimate how all the various processes leading to climate variety will combine is by using computer-based calculations.
199,10,"The professor made a rough estimate of how many students would enroll in his class, but more students signed up than he expected."
200,10,Environmental conditions on early Earth are not known with any certainly. It is possible to male only reasoned estimates.
