ID,Word,Correct Answer,Wrong1,Wrong2,Wrong3,Points
109,know,知っている,好む,住んでいる,所有する,1
110,love,好む,知っている,所属している,似ている,1
111,live,住んでいる,死ぬ,所属している,所有する,1
112,belong,所属している,住んでいる,所有する,似ている,1
113,resemble,似ている,所属している,所有する,好む,1
114,own,所有する,所属している,住んでいる,似ている,1
115,when,～するとき,～する間,～する前に,もし～なら,1
116,while,～する間,～するとき,～した後に,～しない限り,1
117,before,～する前に,～した後に,～するとき,もし～なら,1
118,after,～した後に,～する前に,～する間,～しない限り,1
119,if,もし～なら,～しない限り,～するとき,さもなければ,1
120,unless,～しない限り,もし～なら,～した後に,さもなければ,1
121,otherwise,さもなければ,もし～なら,～しない限り,～する間,1
122,wish,願う,期待する,信じる,決心する,1
