id,section,word,correctAnswer,wrong1,wrong2,wrong3,points,explanation
120,54,special,特別な；専門の,疑いなく；明らかに,転換する；改宗する,親しい；詳しい,1,Section 54 target vocabulary
121,54,recall,思い出す；呼び戻す,瞑想；熟考,気晴らし；娯楽,循環；流通,1,Section 54 target vocabulary
122,54,sight,見ること；景色；視力,乗り物；媒体,鍵を開ける；解き明かす,出発する,1,Section 54 target vocabulary
123,54,scope,範囲；視野,製粉場；工場,公の；大衆,政権；体制,1,Section 54 target vocabulary
124,54,sphere,球；領域,政権；体制,進歩；前進する,卓越した；目立った,1,Section 54 target vocabulary
125,54,hemisphere,半球,職員；人事部,送る；伝達する,好意；支持,1,Section 54 target vocabulary
126,54,remember,覚えている；忘れずにする,政権；体制,硬い；凝った,混雑；渋滞,1,Section 54 target vocabulary
127,54,remind,思い出させる,恐れて；心配して,積極的な；確信している；陽性の,まもなく；少し後で,1,Section 54 target vocabulary
128,54,token,しるし；象徴,地区；地域,原因を帰する；属性,立ち向かう；直面する,1,Section 54 target vocabulary
129,54,unlikely,ありそうもない,円；輪；集団,不平等,美術館；観客,1,Section 54 target vocabulary
130,54,moment,瞬間；時,伝える；運ぶ,自然に；自発的に,貴族；領主,1,Section 54 target vocabulary
131,54,briefly,少しの間；簡潔に,優美さ；品位,円；輪；集団,通貨；普及,1,Section 54 target vocabulary
132,54,temporary,一時的な,利用する；活用する,保険,投資,1,Section 54 target vocabulary
133,55,countryside,田舎；地方,労働力,移行；推移,即座の；すぐ近くの,1,Section 55 target vocabulary
134,55,landscape,風景；景観,円；輪；集団,保険料；割増料金,着実に；安定して,1,Section 55 target vocabulary
135,55,scene,光景；場面,思いがけない,記憶；思い出,積み重ね；積み重ねる,1,Section 55 target vocabulary
136,55,photograph,写真；写真を撮る,利用する,山；積み上げる,調整する；適応する,1,Section 55 target vocabulary
137,55,public,公の；大衆,反応；意見；フィードバック,思い出す；呼び戻す,ぜいたく；高級品,1,Section 55 target vocabulary
138,55,private,個人の；私的な；民間の,義務；任務,小説；斬新な,思い出させる,1,Section 55 target vocabulary
139,55,supernatural,超自然の,不平等,利用する,避難所；保護,1,Section 55 target vocabulary
140,55,genuine,本物の；心からの,統治者；定規,着実に；安定して,程度；範囲,1,Section 55 target vocabulary
141,55,authentic,本物の；信頼できる,孤立させる；隔離する,利用できる；行ける,場合；事例；箱,1,Section 55 target vocabulary
142,55,imaginary,想像上の,十分な,壮大な；素晴らしい,風景；景観,1,Section 55 target vocabulary
143,55,fancy,高級な；空想；好み,揺れる；揺れ,立場；我慢する,授業料；指導,1,Section 55 target vocabulary
144,55,modern,現代の,優美さ；品位,範囲；視野,写真；写真を撮る,1,Section 55 target vocabulary
145,55,sophisticated,洗練された；高度な,集める；組み立てる,呼吸する,資格を得る；適任にする,1,Section 55 target vocabulary
146,55,refine,洗練する；精製する,固執する；続く,気分；雰囲気,加速する；促進する,1,Section 55 target vocabulary
147,55,era,時代,壮大な；素晴らしい,祝賀；お祝い,一握り；少数,1,Section 55 target vocabulary
148,55,prominent,卓越した；目立った,宮殿,加速する；促進する,恋愛；ロマンス,1,Section 55 target vocabulary
149,55,outstanding,傑出した；目立った,覆う；カバー,手荷物,一握り；少数,1,Section 55 target vocabulary
150,55,poet,詩人,経済学,親しい；詳しい,あこがれる；熱望する,1,Section 55 target vocabulary
151,55,feature,特徴；呼び物；特集する,写真；写真を撮る,呼吸する,精神的な；宗教上の,1,Section 55 target vocabulary
152,55,trait,特徴；特性,積み重ね；積み重ねる,覚えている；忘れずにする,和らげる；安心させる,1,Section 55 target vocabulary
153,55,attribute,原因を帰する；属性,洗練する；精製する,即座の；すぐ近くの,成し遂げる；獲得する,1,Section 55 target vocabulary
154,55,grant,認める；与える,革命；回転,隠す；変装させる,ユーモア；機嫌,1,Section 55 target vocabulary
155,55,mood,気分；雰囲気,描く；表現する,批評家,想像する；思いつく,1,Section 55 target vocabulary
156,55,portray,描く；表現する,導く；通じる；結果になる,被験者；主題；受けやすい,宮殿,1,Section 55 target vocabulary
157,55,profile,横顔；人物紹介,指針；ガイドライン,だます；不正をする,キリスト教徒；キリスト教の,1,Section 55 target vocabulary
158,55,dominate,支配する；優勢である,認める；与える,密集した；濃い,生じる；起こる,1,Section 55 target vocabulary
159,55,colony,植民地；群生,ため息をつく,写真；写真を撮る,生息地；住みか,1,Section 55 target vocabulary
160,55,lovely,美しい；愛らしい,急上昇する,中世の,キリスト教徒；キリスト教の,1,Section 55 target vocabulary
161,55,beauty,美；美しさ,まもなく；少し後で,本物の；心からの,洗練された；高度な,1,Section 55 target vocabulary
162,55,grace,優美さ；品位,議題,監督する；監視する,恐れて；心配して,1,Section 55 target vocabulary
163,55,magnificent,壮大な；素晴らしい,魅了する,揺れる；揺れ,一晩中；一晩のうちに,1,Section 55 target vocabulary
164,56,technique,技術；技法；テクニック,花嫁,労働力,写真；写真を撮る,1,Section 56 target vocabulary
165,56,secretly,内密に；ひそかに,熱望；野望,否定的な；消極的な；陰性の,ありそうもない,1,Section 56 target vocabulary
166,56,modification,修正；変更,新人を募集する；新兵,現代の；同時代の人,航行する；うまく切り抜ける,1,Section 56 target vocabulary
167,56,scandal,スキャンダル；醜聞,花嫁,職員；人事部,考える；見なす,1,Section 56 target vocabulary
168,56,rumor,うわさ,想像上の,谷；流域,出発する,1,Section 56 target vocabulary
169,56,imply,暗示する；意味する,信頼できる,計算；推定,泡,1,Section 56 target vocabulary
170,56,implicit,暗黙の；内在する,空想；幻想,光景；場面,輸入する；輸入品,1,Section 56 target vocabulary
171,56,indication,しるし；兆候,権威；当局,いとわない；進んでする,預言者,1,Section 56 target vocabulary
172,56,reliable,信頼できる,悲劇,収益；歳入,流体；流動的な,1,Section 56 target vocabulary
173,56,faith,信頼；信念,宮殿,移民；移住,かなり；公平に,1,Section 56 target vocabulary
174,56,detective,探偵；刑事,設立する；確立する,香り；におい,小説；作り話,1,Section 56 target vocabulary
175,56,arrest,逮捕する；逮捕,潮；潮流；傾向,軌道；軌道を回る,和らげる；安心させる,1,Section 56 target vocabulary
176,56,misunderstanding,誤解,利用できる；行ける,預言者,処分する；配置する,1,Section 56 target vocabulary
177,57,fascinate,魅了する,不足；赤字,蒸気,織物；布地,1,Section 57 target vocabulary
178,57,tempt,誘惑する；したくさせる,支配する；優勢である,頼る；依存する,まったくの；発する,1,Section 57 target vocabulary
179,57,educated,教育を受けた,世界的な；全体的な,避難所；保護,暴く；公表する,1,Section 57 target vocabulary
180,57,spiritual,精神的な；宗教上の,監督する；監視する,同等の；相当する,しるし；象徴,1,Section 57 target vocabulary
181,57,ritual,儀式；習慣,指針；ガイドライン,上がる；増える,接待；受付；反応；宴会,1,Section 57 target vocabulary
182,57,gathering,集まり；収集物,原理；主義,液体；液体の,主に；たいていは,1,Section 57 target vocabulary
183,57,reception,接待；受付；反応；宴会,統治者；定規,感心する；賞賛する,まもなく；少し後で,1,Section 57 target vocabulary
184,57,merely,単に；ただ,見ること；景色；視力,瞑想；熟考,輸出する；輸出品,1,Section 57 target vocabulary
185,57,disclose,暴く；公表する,言葉の；口頭の,幻想；錯覚,分子,1,Section 57 target vocabulary
186,57,enclose,同封する；囲む,内部の；精神的な,地中海の,復活させる；生き返る,1,Section 57 target vocabulary
187,57,sanctuary,保護区域；聖域,請願書；請願する,しるし；兆候,イデオロギー；思想傾向,1,Section 57 target vocabulary
188,57,rely,頼る；依存する,中央の；中心的な,案内する；導く；案内人,立場；我慢する,1,Section 57 target vocabulary
189,57,resort,手段に訴える；行楽地,瞑想；熟考,美術館；観客,幻想；錯覚,1,Section 57 target vocabulary
190,57,ease,楽にする；和らげる,しるし；象徴,公の；大衆,輸送する；輸送,1,Section 57 target vocabulary
191,57,relieve,和らげる；安心させる,天才；才能,喜劇；コメディー,夜明け；始まり,1,Section 57 target vocabulary
192,57,sadness,悲しみ,偶然に；うっかり,難民,世界的な；全体的な,1,Section 57 target vocabulary
193,57,desperate,絶望的な；必死の,控えめな；適度な,逆にする；逆,浮く；浮かぶ,1,Section 57 target vocabulary
194,57,grief,悲しみ,独創性,即座の；促す,精神的な；宗教上の,1,Section 57 target vocabulary
195,57,reveal,明らかにする,横顔；人物紹介,展示する；表示する,まったくの；発する,1,Section 57 target vocabulary
196,57,unlock,鍵を開ける；解き明かす,鮮明な；生き生きとした,反逆者；反抗する,地中海の,1,Section 57 target vocabulary
197,57,incident,出来事；事件,群衆；群がる,感覚；意味；分別,ささいな,1,Section 57 target vocabulary
198,57,accidentally,偶然に；うっかり,暗示する；意味する,高級な；空想；好み,瞑想；熟考,1,Section 57 target vocabulary
199,57,fond,好きで,積み重ね；積み重ねる,統計；統計学,高級な；空想；好み,1,Section 57 target vocabulary
200,58,industry,産業；工業；勤勉,精神的な；宗教上の,論争を呼ぶ,保険料；割増料金,1,Section 58 target vocabulary
201,58,mill,製粉場；工場,ささいな,宿屋,解決する；定住する,1,Section 58 target vocabulary
202,58,grind,挽く；研ぐ,経済的な；節約になる,暗黙の；内在する,汚れ；泥,1,Section 58 target vocabulary
203,58,combine,組み合わせる；兼ね備える,生息地；住みか,風景；景観,復活させる；生き返る,1,Section 58 target vocabulary
204,58,assemble,集める；組み立てる,不平等な；等しくない,写真；写真を撮る,難民,1,Section 58 target vocabulary
205,58,minor,重要でない；少数の,夜明け；始まり,話し合う；議論する,預金；堆積物；置く,1,Section 58 target vocabulary
206,58,trivial,ささいな,魅了する,埋める,それにもかかわらず,1,Section 58 target vocabulary
207,58,pastime,気晴らし；娯楽,美；美しさ,珍しい；まれな,エーカー,1,Section 58 target vocabulary
208,58,luxury,ぜいたく；高級品,投資家,生息地；住みか,偶然に；うっかり,1,Section 58 target vocabulary
209,58,prosperity,繁栄,同様に；平等に,地区；地域,少しの間；簡潔に,1,Section 58 target vocabulary
210,58,mostly,主に；たいていは,谷；流域,宣教師,珍しい；まれな,1,Section 58 target vocabulary
211,58,exceed,超える,旅行する；進む；伝わる,代理店；機関,想像力に富む,1,Section 58 target vocabulary
212,58,central,中央の；中心的な,経済学,一晩中；一晩のうちに,方言,1,Section 58 target vocabulary
213,58,inner,内部の；精神的な,権威；当局,請願書；請願する,資格を得る；適任にする,1,Section 58 target vocabulary
214,58,interior,内部；室内の,ばかげたこと,保護区域；聖域,不足；赤字,1,Section 58 target vocabulary
215,58,mainstream,主流；主流の,積み重ね；積み重ねる,強調する,暗黙の；内在する,1,Section 58 target vocabulary
216,58,extent,程度；範囲,普及している；流行している,美；美しさ,密集した；濃い,1,Section 58 target vocabulary
217,58,magnitude,規模；大きさ,予期する；期待する,湿った；じめじめした,方言,1,Section 58 target vocabulary
218,58,personnel,職員；人事部,認める；与える,あこがれる；熱望する,植民地；群生,1,Section 58 target vocabulary
219,58,pension,年金,指針；ガイドライン,主に；たいていは,うわさ,1,Section 58 target vocabulary
220,58,revenue,収益；歳入,気晴らし；娯楽,送る；伝達する,特徴；特性,1,Section 58 target vocabulary
221,58,surplus,余剰；黒字,キリスト教徒；キリスト教の,蒸気,感覚；意味；分別,1,Section 58 target vocabulary
222,58,deficit,不足；赤字,程度；範囲,強調する,明らかにする,1,Section 58 target vocabulary
223,58,margin,差；利ざや；余白,頻繁な；常連の,感心する；賞賛する,粒子,1,Section 58 target vocabulary
224,58,deposit,預金；堆積物；置く,領土；領域；縄張り,小説；斬新な,気分；雰囲気,1,Section 58 target vocabulary
225,59,uncommon,珍しい；まれな,ぜいたく；高級品,経験する；受ける,革命；回転,1,Section 59 target vocabulary
226,59,attain,成し遂げる；獲得する,旅行する；進む；伝わる,描く；表現する,時代,1,Section 59 target vocabulary
227,59,eager,熱心な；切望して,監督する；監視する,余剰；黒字,それにもかかわらず,1,Section 59 target vocabulary
228,59,willing,いとわない；進んでする,不平等,エーカー,制限する；閉じ込める,1,Section 59 target vocabulary
229,59,reluctant,気が進まない,内密に；ひそかに,穏やかな；優しい,熱心な；切望して,1,Section 59 target vocabulary
230,59,passion,情熱,熱心な；切望して,調整する；適応する,親しい；詳しい,1,Section 59 target vocabulary
231,59,enthusiasm,熱中；熱意,投資家,得る；獲得する,準備する,1,Section 59 target vocabulary
232,59,ambition,野心,まったくの；発する,美術館；観客,乗り物に乗って,1,Section 59 target vocabulary
233,59,accomplishment,達成；業績,群衆；群がる,男性；オス,洗練する；精製する,1,Section 59 target vocabulary
234,59,progress,進歩；前進する,移動させる；振り込む；転送する,密集した；濃い,花嫁,1,Section 59 target vocabulary
235,59,ongoing,進行中の,統治者；定規,信頼できる,航行する；うまく切り抜ける,1,Section 59 target vocabulary
236,59,accelerate,加速する；促進する,独創性,祝賀；お祝い,思い出す；呼び戻す,1,Section 59 target vocabulary
237,59,pace,歩調；速度,こする；なんとか進む,植民地；群生,反乱を起こす；反乱,1,Section 59 target vocabulary
238,59,prompt,即座の；促す,想像力に富む,電線；電報を打つ,処分する；配置する,1,Section 59 target vocabulary
239,59,advantage,利点；有利,地中海の,流れ；現在の；流通している,覚えている；忘れずにする,1,Section 59 target vocabulary
240,59,gentle,穏やかな；優しい,試みる；試み,批判的な；重大な,思いがけない,1,Section 59 target vocabulary
241,59,humble,謙虚な；粗末な,対照；対比する,一握り；少数,進歩；前進する,1,Section 59 target vocabulary
242,59,modest,控えめな；適度な,内部の；精神的な,遠く離れた,等しい；耐えうる,1,Section 59 target vocabulary
243,59,measurable,測定できる,分別のある,恐れて；心配して,送る；伝達する,1,Section 59 target vocabulary
244,59,obtain,得る；獲得する,出来事；事件,発明；発明品,重要でない；少数の,1,Section 59 target vocabulary
245,59,attempt,試みる；試み,半球,処分する；配置する,制限する；閉じ込める,1,Section 59 target vocabulary
246,60,insurance,保険,設立；施設,遠征；探検隊,祝賀；お祝い,1,Section 60 target vocabulary
247,60,invest,投資する；与える,世界的な；全体的な,計算；推定,急上昇する,1,Section 60 target vocabulary
248,60,convert,転換する；改宗する,前例のない,職員；人事部,反対に；対抗する；カウンター,1,Section 60 target vocabulary
249,60,standardize,標準化する,分子,指針；ガイドライン,送る；伝達する,1,Section 60 target vocabulary
250,60,undoubtedly,疑いなく；明らかに,代理人；業者,即座の；促す,通貨；普及,1,Section 60 target vocabulary
251,60,positive,積極的な；確信している；陽性の,固体の；しっかりした,しるし；象徴,予期する；期待する,1,Section 60 target vocabulary
252,60,negative,否定的な；消極的な；陰性の,強いる,進歩；前進する,ため息をつく,1,Section 60 target vocabulary
253,60,enjoyment,楽しみ；享受,案内する；導く；案内人,即座の；促す,指針；ガイドライン,1,Section 60 target vocabulary
254,60,intent,熱心な；意図,移行；推移,液体；液体の,利用する,1,Section 60 target vocabulary
255,60,invention,発明；発明品,壮大な；素晴らしい,感情移入；共感,熱心な；切望して,1,Section 60 target vocabulary
256,60,fund,資金；基金,批評家,野蛮な；けもの,方言,1,Section 60 target vocabulary
